What is the procedure?	Wat is die prosedure?	ما هو الإجراء؟	প্ৰক্ৰিয়াটো কি?	Каква е процедурата?	পদ্ধতিটি কী?	Koja je procedura?	Quin és el procediment?	Jaký je postup?	Beth yw'r weithdrefn?	Hvad er proceduren?	Wie ist das Verfahren?	Ποια είναι η διαδικασία;	What is the procedure?	¿Cuál es el procedimiento?	Mis on menetlus?	روش چيه؟	Mikä on menettelytapa?	Ano ang pamamaraan?	Quelle est la procédure?	Cad é an nós imeachta?	પ્રક્રિયા શું છે?	מה הנוהל?	प्रक्रिया क्या है?	Kakva je procedura?	Mi az eljárás?	Apa prosedurnya?	Hver er aðferðin?	Qual è la procedura?	手順は何ですか?	Процедура дегеніміз не?	ಕಾರ್ಯವಿಧಾನ ವೇನು?	절차는 무엇입니까?	ئەوە چیە؟	Kas yra procedūra?	Kāda ir procedūra?	He aha te hātepe?	എന്താണ് നടപടിക്രമം?	प्रक्रिया काय आहे?	Apakah prosedurnya?	X'inhi l-proċedura?	Hva er prosedyren?	Wat is de procedure?	ପଦ୍ଧତି କ'ଣ?	ਪ੍ਰਕਿਰਿਆ ਕੀ ਹੈ?	Jaka jest procedura?	روش چیست؟	Qual é o procedimento?	Qual é o procedimento?	Care este procedura?	Что такое процедура?	Aký je postup?	Kakšen je postopek?	Каква је процедура?	Kakva je procedura?	Vad är proceduren?	Utaratibu ni nini?	நடைமுறை என்ன?	ప్రక్రియ ఏమిటి?	ขั้นตอนคืออะไร?	Prosedür nedir?	Що таке процедура?	طریقہ کار کیا ہے؟	Thủ tục là gì?	程序是什么？	程序是什麼？
What is it used for?	Waarvoor word dit gebruik?	ما هو استخدامه ل؟	ইয়াক কিহৰ বাবে ব্যৱহাৰ কৰা হয়?	За какво се използва?	এটা কিসের জন্য ব্যবহার করা হয়?	Za šta se koristi?	Per a què serveix?	K čemu se používá?	Ar gyfer beth mae'n cael ei ddefnyddio?	Hvad bruges det til?	Wofür wird es verwendet?	Σε τι χρησιμοποιείται;	What is it used for?	¿Para qué se utiliza?	Milleks seda kasutatakse?	براي چي استفاده ميشه؟	Mihin sitä käytetään?	Ano ang ginagamit para dito?	À quoi sert-il?	Cad chuige a n-úsáidtear é?	તેનો ઉપયોગ શેના માટે થાય છે?	למה הוא משמש?	इसके लिए क्या प्रयोग किया जाता है?	Za što se koristi?	Mire használják?	Untuk apa itu digunakan?	Til hvers er það notað?	A cosa serve?	それは何のために使用されていますか?	Ол не үшін қолданылады?	ಇದನ್ನು ಯಾವುದಕ್ಕೆ ಬಳಸಲಾಗುತ್ತದೆ?	그것은 무엇을 위해 사용됩니까?	بۆ چی بەکاردێت؟	Kam jis vartojamas?	Kāpēc tās lieto?	He aha te whakamahinga mō te aha?	ഇത് എന്തിനുവേണ്ടിയാണ് ഉപയോഗിക്കുന്നത്?	याचा उपयोग कशासाठी केला जातो?	Apa yang digunakan?	Għal xiex jintuża?	Hva brukes den til?	Waar wordt het voor gebruikt?	ଏହା କ'ଣ ପାଇଁ ବ୍ୟବହୃତ ହୁଏ?	ਇਸ ਦੀ ਵਰਤੋਂ ਕਿਸ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ?	W jakim celu się go stosuje?	برای چه استفاده می شود؟	Para que é usado?	Para que é usado?	Pentru ce se utilizează?	Для чего он используется?	Na čo sa používa?	Za kaj se uporablja?	За шта се користи?	Za šta se koristi?	Vad används den till?	Ni nini kinachotumiwa?	இது எதற்காக பயன்படுத்தப்படுகிறது?	దీనిని దేనికొరకు ఉపయోగిస్తారు?	ใช้สําหรับอะไร?	Ne için kullanılır?	Для чого він використовується?	یہ کس کے لئے استعمال کیا جاتا ہے؟	Nó được sử dụng để làm gì?	它是用来做什么的？	它是用來做什麼的？
How to prepare?	Hoe om voor te berei?	كيفية الاستعداد؟	কেনেদৰে প্ৰস্তুত কৰিব?	Как да се подготвим?	কিভাবে প্রস্তুতি নিতে হয়?	Kako se pripremiti?	Com preparar-se?	Jak se připravit?	Sut i baratoi?	Hvordan forbereder man sig?	Wie bereitet man sich vor?	Πώς να προετοιμαστείτε;	How to prepare?	¿Cómo prepararse?	Kuidas valmistuda?	چگونه آماده شویم؟	Miten valmistautua?	Paano maghanda?	Comment se préparer ?	Conas ullmhú?	કેવી રીતે તૈયારી કરવી?	איך להתכונן?	कैसे तैयारी करें?	Kako se pripremiti?	Hogyan készüljünk fel?	Bagaimana mempersiapkan?	Hvernig á að undirbúa þig?	Come prepararsi?	どのように準備するには?	Қалай дайындалуға болады?	ತಯಾರಿ ಹೇಗೆ?	어떻게 준비해야 합니까?	چۆن ئامادە بکەین؟	Kaip pasiruošti?	Kā sagatavoties?	Me pēhea te whakarite?	എങ്ങനെ തയ്യാറെടുക്കാം?	तयारी कशी करावी?	Bagaimana untuk menyediakan?	Kif tipprepara?	Hvordan forberede seg?	Hoe bereid je je voor?	କିପରି ପ୍ରସ୍ତୁତ କରିବେ?	ਤਿਆਰੀ ਕਿਵੇਂ ਕਰਨੀ ਹੈ?	Jak się przygotować?	چگونه آماده؟	Como se preparar?	Como se preparar?	Cum să te pregătești?	Как подготовиться?	Ako sa pripraviť?	Kako se pripraviti?	Како се припремити?	Kako se pripremiti?	Hur förbereder man sig?	Jinsi ya kujiandaa?	எப்படி தயாரிப்பது?	ఎలా సిద్ధం కావాలి?	วิธีการเตรียมความพร้อม?	Nasıl hazırlanır?	Як підготуватися?	تیاری کیسے کریں؟	Làm thế nào để chuẩn bị?	如何准备？	如何準備？
What happens during the procedure?	Wat gebeur tydens die prosedure?	ماذا يحدث أثناء العملية؟	প্ৰক্ৰিয়াটোৰ সময়ত কি হয়?	Какво се случва по време на процедурата?	প্রক্রিয়াচলাকালীন কী ঘটে?	Šta se dešava tokom procedure?	Què passa durant el procediment?	Co se stane během procedury?	Beth sy'n digwydd yn ystod y weithdrefn?	Hvad sker der under proceduren?	Was passiert während des Eingriffs?	Τι συμβαίνει κατά τη διάρκεια της διαδικασίας;	What happens during the procedure?	¿Qué sucede durante el procedimiento?	Mis juhtub protseduuri ajal?	در طول عمل چه اتفاقی می افتد؟	Mitä toimenpiteen aikana tapahtuu?	Ano ang mangyayari sa proseso?	Que se passe-t-il pendant la procédure?	Cad a tharlaíonn le linn an nós imeachta?	પ્રક્રિયા દરમિયાન શું થાય છે?	מה קורה במהלך ההליך?	प्रक्रिया के दौरान क्या होता है?	Što se događa tijekom postupka?	Mi történik az eljárás során?	Apa yang terjadi selama prosedur?	Hvað gerist meðan á aðgerðinni stendur?	Cosa succede durante la procedura?	手順中に何が起こりますか?	Процедура барысында не болады?	ಕಾರ್ಯವಿಧಾನದ ಸಮಯದಲ್ಲಿ ಏನಾಗುತ್ತದೆ?	시술 중에 어떤 일이 발생합니까?	لە کاتی پڕۆسەکە چی ڕوودەدات؟	Kas vyksta procedūros metu?	Kas notiek procedūras laikā?	Ka ahatia i te wā o te hātepe?	നടപടിക്രമവേളയിൽ എന്ത് സംഭവിക്കും?	प्रक्रियेदरम्यान काय होते?	Apa yang berlaku semasa prosedur?	X'jiġri matul il-proċedura?	Hva skjer under prosedyren?	Wat gebeurt er tijdens de procedure?	ପ୍ରକ୍ରିୟା ସମୟରେ କ'ଣ ହୁଏ?	ਪ੍ਰਕਿਰਿਆ ਦੌਰਾਨ ਕੀ ਹੁੰਦਾ ਹੈ?	Co dzieje się podczas zabiegu?	در طول عمل چه اتفاقی می افتد؟	O que acontece durante o procedimento?	O que acontece durante o procedimento?	Ce se întâmplă în timpul procedurii?	Что происходит во время процедуры?	Čo sa deje počas procedúry?	Kaj se zgodi med postopkom?	Шта се дешава током процедуре?	Šta se dešava tokom procedure?	Vad händer under proceduren?	Nini kinatokea wakati wa utaratibu?	செயல்முறையின் போது என்ன நடக்கிறது?	ప్రక్రియ సమయంలో ఏమి జరుగుతుంది?	จะเกิดอะไรขึ้นในระหว่างขั้นตอน?	İşlem sırasında ne olur?	Що відбувається під час процедури?	طریقہ کار کے دوران کیا ہوتا ہے؟	Điều gì xảy ra trong quá trình này?	手术过程中会发生什么？	手術過程中會發生什麼？
What to expect after procedure?	Wat om te verwag na die prosedure?	ما الذي يمكن توقعه بعد العملية؟	প্ৰক্ৰিয়াটোৰ পিছত কি আশা কৰিব লাগে?	Какво да очакваме след процедура?	পদ্ধতির পরে কী আশা করা যায়?	Šta očekivati nakon procedure?	Què esperar després del procediment?	Co očekávat po zákroku?	Beth i'w ddisgwyl ar ôl y weithdrefn?	Hvad kan man forvente efter proceduren?	Was erwartet Sie nach dem Eingriff?	Τι να περιμένετε μετά τη διαδικασία;	What to expect after procedure?	¿Qué esperar después del procedimiento?	Mida oodata pärast protseduuri?	بعد از عمل چه انتظاری باید داشت؟	Mitä odottaa toimenpiteen jälkeen?	Ano ang aasahan pagkatapos ng procedure?	À quoi s’attendre après la procédure?	Cad a bheith ag súil leis tar éis an nós imeachta?	પ્રક્રિયા પછી શું અપેક્ષા રાખવી?	למה לצפות לאחר ההליך?	प्रक्रिया के बाद क्या उम्मीद करें?	Što očekivati nakon zahvata?	Mire számíthatunk az eljárás után?	Apa yang diharapkan setelah prosedur?	Við hverju má búast eftir aðgerð?	Cosa aspettarsi dopo la procedura?	手順の後に何を期待しますか?	Процедурадан кейін не күтуге болады?	ಕಾರ್ಯವಿಧಾನದ ನಂತರ ಏನನ್ನು ನಿರೀಕ್ಷಿಸಬಹುದು?	절차 후 무엇을 기대해야합니까?	دوای ڕێکارەکە چاوەڕێی چی بکەین؟	Ko tikėtis po procedūros?	Ko sagaidīt pēc procedūras?	He aha hei tūmanako i muri i te hātepe?	നടപടിക്രമത്തിന് ശേഷം എന്താണ് പ്രതീക്ഷിക്കേണ്ടത്?	प्रक्रियेनंतर काय अपेक्षा करावी?	Apa yang diharapkan selepas prosedur?	X'għandek tistenna wara l-proċedura?	Hva kan du forvente etter prosedyren?	Wat te verwachten na de procedure?	ପ୍ରକ୍ରିୟା ପରେ କ'ଣ ଆଶା କରିବେ?	ਪ੍ਰਕਿਰਿਆ ਤੋਂ ਬਾਅਦ ਕੀ ਉਮੀਦ ਕਰਨੀ ਚਾਹੀਦੀ ਹੈ?	Czego można się spodziewać po zabiegu?	بعد از عمل چه انتظاری باید داشت؟	O que esperar após o procedimento?	O que esperar depois do procedimento?	La ce să vă așteptați după procedură?	Чего ожидать после процедуры?	Čo môžete očakávať po zákroku?	Kaj lahko pričakujete po postopku?	Шта очекивати после процедуре?	Šta očekivati posle procedure?	Vad kan man förvänta sig efter proceduren?	Nini cha kutarajia baada ya utaratibu?	நடைமுறைக்குப் பிறகு என்ன எதிர்பார்க்கலாம்?	ప్రక్రియ తరువాత ఏమి ఆశించాలి?	สิ่งที่คาดหวังหลังจากขั้นตอน?	İşlemden sonra ne beklenir?	Чого очікувати після процедури?	طریقہ کار کے بعد کیا توقع کی جائے؟	Những gì mong đợi sau khi làm thủ thuật?	手术后会发生什么？	手術後會發生什麼？
What are the risks and complications?	Wat is die risiko's en komplikasies?	ما هي المخاطر والمضاعفات؟	বিপদাশংকা আৰু জটিলতাবোৰ কি?	Какви са рисковете и усложненията?	ঝুঁকি এবং জটিলতাগুলি কী কী?	Koji su rizici i komplikacije?	Quins són els riscos i complicacions?	Jaká jsou rizika a komplikace?	Beth yw'r risgiau a'r cymhlethdodau?	Hvad er risici og komplikationer?	Was sind die Risiken und Komplikationen?	Ποιοι είναι οι κίνδυνοι και οι επιπλοκές;	What are the risks and complications?	¿Cuáles son los riesgos y complicaciones?	Millised on riskid ja tüsistused?	خطرات و عوارض چه هستند؟	Mitkä ovat riskit ja komplikaatiot?	Ano ang mga panganib at komplikasyon?	Quels sont les risques et les complications?	Cad iad na rioscaí agus na deacrachtaí?	જોખમો અને જટિલતાઓ શું છે?	מהם הסיכונים והסיבוכים?	जोखिम और जटिलताएं क्या हैं?	Koji su rizici i komplikacije?	Mik a kockázatok és komplikációk?	Apa risiko dan komplikasinya?	Hver er áhættan og fylgikvillarnir?	Quali sono i rischi e le complicazioni?	リスクと合併症は何ですか?	Қандай қауіптер мен асқынулар бар?	ಅಪಾಯಗಳು ಮತ್ತು ತೊಡಕುಗಳು ಯಾವುವು?	위험과 합병증은 무엇입니까?	مەترسی و ئاڵۆزیەکان چین؟	Kokia yra rizika ir komplikacijos?	Kādi ir riski un komplikācijas?	He aha nga mōrearea me nga pōauautanga?	അപകടസാധ്യതകളും സങ്കീർണ്ണതകളും എന്തൊക്കെയാണ്?	धोके आणि गुंतागुंत काय आहेत?	Apakah risiko dan komplikasi?	X'inhuma r-riskji u l-kumplikazzjonijiet?	Hva er risikoene og komplikasjonene?	Wat zijn de risico's en complicaties?	ବିପଦ ଏବଂ ଜଟିଳତା କ'ଣ?	ਜੋਖਿਮ ਅਤੇ ਉਲਝਣਾਂ ਕੀ ਹਨ?	Jakie są zagrożenia i powikłania?	خطرات و عوارض چیست؟	Quais são os riscos e complicações?	Quais são os riscos e complicações?	Care sunt riscurile și complicațiile?	Каковы риски и осложнения?	Aké sú riziká a komplikácie?	Kakšna so tveganja in zapleti?	Који су ризици и компликације?	Koji su rizici i komplikacije?	Vilka är riskerna och komplikationerna?	Ni hatari na matatizo gani?	அபாயங்கள் மற்றும் சிக்கல்கள் என்ன?	ప్రమాదాలు మరియు సంక్లిష్టతలు ఏమిటి?	ความเสี่ยงและภาวะแทรกซ้อนคืออะไร?	Riskler ve komplikasyonlar nelerdir?	Які ризики і ускладнення?	خطرات اور پیچیدگیاں کیا ہیں؟	Những rủi ro và phức tạp là gì?	风险和并发症是什么？	風險和併發症是什麼？
What is the test?	Wat is die toets?	ما هو الاختبار؟	পৰীক্ষাটো কি?	Какъв е тестът?	পরীক্ষা কি?	Koji je test?	Què és la prova?	Jaký je test?	Beth yw'r prawf?	Hvad er testen?	Was ist der Test?	Ποιο είναι το τεστ;	What is the test?	¿Qué es la prueba?	Mis on test?	آزمون چيه؟	Mikä on testi?	Ano ang pagsubok?	Quel est le test?	Cad é an tástáil?	પરીક્ષણ શું છે?	מה המבחן?	परीक्षण क्या है?	Što je test?	Mi a teszt?	Apa ujiannya?	Hvert er prófið?	Cos'è il test?	テストとは何ですか?	Тест дегеніміз не?	ಪರೀಕ್ಷೆ ಏನು?	테스트란 무엇입니까?	ئایا تاقی کردنەوەکە چییە؟	Kas yra testas?	Kāds ir tests?	He aha te whakamātautau?	എന്താണ് ടെസ്റ്റ്?	परीक्षा काय आहे?	Apakah ujiannya?	X'inhu t-test?	Hva er testen?	Wat is de test?	ପରୀକ୍ଷା କ'ଣ?	ਟੈਸਟ ਕੀ ਹੈ?	Co to jest test?	تست چیست؟	Qual é o teste?	Qual é o teste?	Care este testul?	Что такое тест?	Čo je to test?	Kakšen je test?	Који је тест?	Koji je test?	Vad är testet?	Jaribio ni nini?	சோதனை என்றால் என்ன?	పరీక్ష అంటే ఏమిటి?	การทดสอบคืออะไร?	Test nedir?	Що таке тест?	امتحان کیا ہے؟	Bài kiểm tra là gì?	什么是测试？	什麼是測試？
What is it used for?	Waarvoor word dit gebruik?	ما هو استخدامه ل؟	ইয়াক কিহৰ বাবে ব্যৱহাৰ কৰা হয়?	За какво се използва?	এটা কিসের জন্য ব্যবহার করা হয়?	Za šta se koristi?	Per a què serveix?	K čemu se používá?	Ar gyfer beth mae'n cael ei ddefnyddio?	Hvad bruges det til?	Wofür wird es verwendet?	Σε τι χρησιμοποιείται;	What is it used for?	¿Para qué se utiliza?	Milleks seda kasutatakse?	براي چي استفاده ميشه؟	Mihin sitä käytetään?	Ano ang ginagamit para dito?	À quoi sert-il?	Cad chuige a n-úsáidtear é?	તેનો ઉપયોગ શેના માટે થાય છે?	למה הוא משמש?	इसके लिए क्या प्रयोग किया जाता है?	Za što se koristi?	Mire használják?	Untuk apa itu digunakan?	Til hvers er það notað?	A cosa serve?	それは何のために使用されていますか?	Ол не үшін қолданылады?	ಇದನ್ನು ಯಾವುದಕ್ಕೆ ಬಳಸಲಾಗುತ್ತದೆ?	그것은 무엇을 위해 사용됩니까?	بۆ چی بەکاردێت؟	Kam jis vartojamas?	Kāpēc tās lieto?	He aha te whakamahinga mō te aha?	ഇത് എന്തിനുവേണ്ടിയാണ് ഉപയോഗിക്കുന്നത്?	याचा उपयोग कशासाठी केला जातो?	Apa yang digunakan?	Għal xiex jintuża?	Hva brukes den til?	Waar wordt het voor gebruikt?	ଏହା କ'ଣ ପାଇଁ ବ୍ୟବହୃତ ହୁଏ?	ਇਸ ਦੀ ਵਰਤੋਂ ਕਿਸ ਲਈ ਕੀਤੀ ਜਾਂਦੀ ਹੈ?	W jakim celu się go stosuje?	برای چه استفاده می شود؟	Para que é usado?	Para que é usado?	Pentru ce se utilizează?	Для чего он используется?	Na čo sa používa?	Za kaj se uporablja?	За шта се користи?	Za šta se koristi?	Vad används den till?	Ni nini kinachotumiwa?	இது எதற்காக பயன்படுத்தப்படுகிறது?	దీనిని దేనికొరకు ఉపయోగిస్తారు?	ใช้สําหรับอะไร?	Ne için kullanılır?	Для чого він використовується?	یہ کس کے لئے استعمال کیا جاتا ہے؟	Nó được sử dụng để làm gì?	它是用来做什么的？	它是用來做什麼的？
How to prepare?	Hoe om voor te berei?	كيفية الاستعداد؟	কেনেদৰে প্ৰস্তুত কৰিব?	Как да се подготвим?	কিভাবে প্রস্তুতি নিতে হয়?	Kako se pripremiti?	Com preparar-se?	Jak se připravit?	Sut i baratoi?	Hvordan forbereder man sig?	Wie bereitet man sich vor?	Πώς να προετοιμαστείτε;	How to prepare?	¿Cómo prepararse?	Kuidas valmistuda?	چگونه آماده شویم؟	Miten valmistautua?	Paano maghanda?	Comment se préparer ?	Conas ullmhú?	કેવી રીતે તૈયારી કરવી?	איך להתכונן?	कैसे तैयारी करें?	Kako se pripremiti?	Hogyan készüljünk fel?	Bagaimana mempersiapkan?	Hvernig á að undirbúa þig?	Come prepararsi?	どのように準備するには?	Қалай дайындалуға болады?	ತಯಾರಿ ಹೇಗೆ?	어떻게 준비해야 합니까?	چۆن ئامادە بکەین؟	Kaip pasiruošti?	Kā sagatavoties?	Me pēhea te whakarite?	എങ്ങനെ തയ്യാറെടുക്കാം?	तयारी कशी करावी?	Bagaimana untuk menyediakan?	Kif tipprepara?	Hvordan forberede seg?	Hoe bereid je je voor?	କିପରି ପ୍ରସ୍ତୁତ କରିବେ?	ਤਿਆਰੀ ਕਿਵੇਂ ਕਰਨੀ ਹੈ?	Jak się przygotować?	چگونه آماده؟	Como se preparar?	Como se preparar?	Cum să te pregătești?	Как подготовиться?	Ako sa pripraviť?	Kako se pripraviti?	Како се припремити?	Kako se pripremiti?	Hur förbereder man sig?	Jinsi ya kujiandaa?	எப்படி தயாரிப்பது?	ఎలా సిద్ధం కావాలి?	วิธีการเตรียมความพร้อม?	Nasıl hazırlanır?	Як підготуватися?	تیاری کیسے کریں؟	Làm thế nào để chuẩn bị?	如何准备？	如何準備？
What happens during the test?	Wat gebeur tydens die toets?	ماذا يحدث أثناء الاختبار؟	পৰীক্ষাৰ সময়ত কি হয়?	Какво се случва по време на теста?	পরীক্ষার সময় কী হয়?	Šta se dešava tokom testa?	Què passa durant la prova?	Co se stane během testu?	Beth sy'n digwydd yn ystod y prawf?	Hvad sker der under testen?	Was passiert während des Tests?	Τι συμβαίνει κατά τη διάρκεια του τεστ;	What happens during the test?	¿Qué sucede durante la prueba?	Mis juhtub testi ajal?	در طول آزمون چه اتفاقی می افتد؟	Mitä testin aikana tapahtuu?	Ano ang mangyayari sa panahon ng pagsubok?	Que se passe-t-il pendant le test?	Cad a tharlaíonn le linn na tástála?	પરીક્ષણ દરમિયાન શું થાય છે?	מה קורה במהלך הבדיקה?	परीक्षण के दौरान क्या होता है?	Što se događa tijekom testa?	Mi történik a teszt során?	Apa yang terjadi selama tes?	Hvað gerist meðan á prófinu stendur?	Cosa succede durante il test?	テスト中に何が起こりますか?	Тестілеу кезінде не болады?	ಪರೀಕ್ಷೆಯ ಸಮಯದಲ್ಲಿ ಏನಾಗುತ್ತದೆ?	테스트 하는 동안 어떻게 됩니까?	لە کاتی تاقیکردنەوەدا چی ڕوودەدات؟	Kas vyksta bandymo metu?	Kas notiek testa laikā?	He aha te mahi i te wā o te whakamātautau?	ടെസ്റ്റിന്റെ സമയത്ത് എന്ത് സംഭവിക്കും?	चाचणीदरम्यान काय होते?	Apa yang berlaku semasa ujian?	X'jiġri matul it-test?	Hva skjer under testen?	Wat gebeurt er tijdens de test?	ପରୀକ୍ଷା ସମୟରେ କ'ଣ ହୁଏ?	ਟੈਸਟ ਦੌਰਾਨ ਕੀ ਹੁੰਦਾ ਹੈ?	Co dzieje się podczas testu?	در طول امتحان چه اتفاقی می افتد؟	O que acontece durante o teste?	O que acontece durante o teste?	Ce se întâmplă în timpul testului?	Что происходит во время теста?	Čo sa stane počas testu?	Kaj se zgodi med testom?	Шта се дешава током теста?	Šta se dešava tokom testa?	Vad händer under testet?	Nini kinatokea wakati wa mtihani?	சோதனையின் போது என்ன நடக்கிறது?	టెస్ట్ సమయంలో ఏమి జరుగుతుంది?	จะเกิดอะไรขึ้นในระหว่างการทดสอบ?	Test sırasında ne olur?	Що відбувається під час тесту?	ٹیسٹ کے دوران کیا ہوتا ہے؟	Điều gì xảy ra trong quá trình thử nghiệm?	测试期间会发生什么？	測試期間會發生什麼？
